,文采-均值,文采-方差,思维-均值,思维-方差,魔怔-均值,魔怔-方差,总分,总分方差,各维方差
退役记,6.83834586465413,7.80526196449809,6.81904761901504,5.92851851869403,6.42008310247368,6.3944170785673,37.4131908551434,78.9635602612932,"=VAR(B37,D37,F37)"
完美无缺,8.22857142858646,3.49893424023764,7.52982456141353,5.70684767455786,7.56798575389474,3.20026817123952,44.4364482756828,27.4451782265822,"=VAR(B38,D38,F38)"
我服了爸爸,3.43984962407519,8.26092015756355,4.16416040097744,10.7096809484656,7.25069252078947,7.56071892225189,30.8091393553991,250.17936676432,"=VAR(B39,D39,F39)"
我没有妄想症。,7.33383458645113,4.64694354940098,7.21203007516541,5.44030075191701,6.91181242578947,4.19596835647865,40.549489738141,37.323809390187,"=VAR(B40,D40,F40)"
我受够了吗？我受得还不够！,6.07894736843609,6.5005072203751,6.93533834584211,7.59157298009335,7.05821131778947,4.05676831899019,38.0412454822078,93.0804234921559,"=VAR(B41,D41,F41)"
先知,5.02556390979699,6.38747344534727,5.52882205513534,6.89919242517214,6.24172932331579,5.69889038062595,31.612572535654,118.703145763523,"=VAR(B42,D42,F42)"
闲话,8.19398496239098,2.26866929235704,6.54085213029323,6.95642558792401,7.33490304710526,4.78977709399458,42.3299433894699,58.6042843580327,"=VAR(B43,D43,F43)"
小刀,6.62142857145113,4.65910997707698,7.22355889722556,4.09381071688812,6.69204590426316,2.96011603657692,38.9113592083153,49.3258834304087,"=VAR(B44,D44,F44)"
信息学竞赛,4.60902255640602,6.29215896884044,6.55137844610526,6.08643632875888,6.47497032052632,6.32000978825487,34.3428721984584,187.558930862206,"=VAR(B45,D45,F45)"
言,3.50150375942105,10.8944874089,4.33233082705263,9.71113020642468,6.51481994457895,8.08018981229742,27.4424724305491,110.03771948452,"=VAR(B46,D46,F46)"
医生说我需要做一个脑部手术,5.60902255640602,3.97866690531663,5.48270676693985,3.96110156323934,7.37324891173684,2.8042090386671,35.9446669564477,26.606021838518,"=VAR(B47,D47,F47)"
永恒暑假的记录,6.6740601503985,7.2441225084028,6.93634085212782,5.81380753469862,6.47760189947368,5.15454912833537,37.1671642047659,91.8019592822102,"=VAR(B48,D48,F48)"
造句练习,5.83007518798496,4.28954409829206,5.41303258145865,6.26581214930846,7.15933913736842,2.51836709963508,35.5486821505759,52.4402712387761,"=VAR(B49,D49,F49)"
纸飞机,7.46165413533083,5.10911683979143,6.80200501256391,5.43701515697979,6.41422635536842,5.26238340626959,38.3957782285227,66.2440611295087,"=VAR(B50,D50,F50)"
最后一块拼图,8.23120300750376,7.10432659036514,7.09022556391729,8.90127103450376,7.26460229526316,4.99626249600935,43.5124461297919,182.510066766777,"=VAR(B51,D51,F51)"
,=MAX(B2:B51),=MAX(C2:C51),=MAX(D2:D51),=MAX(E2:E51),=MAX(F2:F51),=MAX(G2:G51),=MAX(H2:H51),=MAX(I2:I51),=MAX(J2:J51)
,"=INDEX($A2:$A51,MATCH(B52,B2:B51))","=INDEX($A2:$A51,MATCH(C52,C2:C51))","=INDEX($A2:$A51,MATCH(D52,D2:D51))","=INDEX($A2:$A51,MATCH(E52,E2:E51))","=INDEX($A2:$A51,MATCH(F52,F2:F51))","=INDEX($A2:$A51,MATCH(G52,G2:G51))","=INDEX($A2:$A51,MATCH(H52,H2:H51))","=INDEX($A2:$A51,MATCH(I52,I2:I51))","=INDEX($A2:$A51,MATCH(J52,J2:J51))"
